WURCS=2.0/4,4,3/[u2112h_2*NCC/3=O][a2112h-1b_1-5][a2112h-1a_1-5][a1221m-1a_1-5]/1-2-3-4/a3-b1_b3-c1_c2-d1	Fuc(a1-2)Gal(a1-3)Gal(b1-3)GalNAc	α-L-Fucp-(1→2)-α-D-Galp-(1→3)-β-D-Galp-(1→3)-D-GalNAc	LFucpa1-2DGalpa1-3DGalpb1-3DGalpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]2O)[C@@H](O)[C@H]1CO
WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][a2112h-1a_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3/a3-b1_a6-c2	GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc	α-D-GalpNAc-(1→3)[α-D-Neup5Ac-(2→6)]-D-GalNAc	DNeup5Aca2-6[DGalpNAca1-3]DGalpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1CO[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2
WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3/a3-b1_a6-c2	GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc	β-D-GlcpNAc-(1→3)[α-D-Neup5Ac-(2→6)]-D-GalNAc	DNeup5Aca2-6[DGlcpNAcb1-3]DGalpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1CO[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2
WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][a2112h-1a_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3/a3-b1_b6-c2	Neu5Ac(a2-6)GalNAc(a1-3)GalNAc	α-D-Neup5Ac-(2→6)-α-D-GalpNAc-(1→3)-D-GalNAc	DNeup5Aca2-6DGalpNAca1-3DGalpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O[C@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1CO
WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a2112h-1b_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3/a3-b1_b6-c2	Neu5Ac(a2-6)GalNAc(b1-3)GlcNAc	α-D-Neup5Ac-(2→6)-β-D-GalpNAc-(1→3)-D-GlcNAc	DNeup5Aca2-6DGalpNAcb1-3DGlcpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H]1CO
WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4/a4-b1_b3-c2_c8-d2	Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	α-D-Neup5Ac-(2→8)-α-D-Neup5Gc-(2→3)-β-D-Galp-(1→4)-D-Glc	DNeup5Aca2-8DNeup5Gca2-3DGalpb1-4DGlcp	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O4)CO)O3)[C@H]2O)[C@H]1CO
WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O][Aad21122h-2a_2-6_5*NCCO/3=O]/1-2-3-4/a4-b1_b3-c2_c8-d2	Neu5Gc(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc	α-D-Neup5Gc-(2→8)-α-D-Neup5Ac-(2→3)-β-D-Galp-(1→4)-D-Glc	DNeup5Gca2-8DNeup5Aca2-3DGalpb1-4DGlcp	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O)CO)O4)CO)O3)[C@H]2O)[C@H]1CO
WURCS=2.0/3,4,3/[u2122h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O]/1-2-3-3/a4-b1_b3-c2_c8-d2	Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	α-D-Neup5Gc-(2→8)-α-D-Neup5Gc-(2→3)-β-D-Galp-(1→4)-D-Glc	DNeup5Gca2-8DNeup5Gca2-3DGalpb1-4DGlcp	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O)CO)O4)CO)O3)[C@H]2O)[C@H]1CO
WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][a2112h-1a_1-5][a2112h-1b_1-5_2*NCC/3=O]/1-2-3-4/a4-b1_b3-c1_c3-d1	GalNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc	β-D-GalpNAc-(1→3)-α-D-Galp-(1→3)-β-D-Galp-(1→4)-D-Glc	DGalpNAcb1-3DGalpa1-3DGalpb1-4DGlcp	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]3O)[C@H]2O)[C@H]1CO
WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][a2112h-1a_1-5][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4/a4-b1_b4-c1_c3-d2	Neu5Ac(a2-3)Gal(a1-4)Gal(b1-4)Glc	α-D-Neup5Ac-(2→3)-α-D-Galp-(1→4)-β-D-Galp-(1→4)-D-Glc	DNeup5Aca2-3DGalpa1-4DGalpb1-4DGlcp	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O4)[C@H]3O)[C@H](O)[C@H]2O)[C@H]1CO
