WURCS=2.0/2,2,1/[u2122h_2*NCC/3=O][a1221m-1b_1-5]/1-2/a3-b1	C(=O)(C)N[C@H]2C(O[C@H](CO)[C@H]([C@@H]2O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](C)O1)O)O
WURCS=2.0/2,2,1/[u2122h_2*NCC/3=O][a1221m-1a_1-5]/1-2/a3-b1	C(=O)(C)N[C@H]2C(O[C@H](CO)[C@H]([C@@H]2O[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](C)O1)O)O
WURCS=2.0/6,12,11/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a1221m-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-6-4-2-6-2-6/a4-b1_b4-c1_c3-d1_c6-h1_d2-e1_e3-f1_e4-g1_h2-i1_h6-k1_i4-j1_k4-l1	C(=O)(N[C@@H]1[C@H]([C@H](O[C@@H]%12O[C@@H]([C@H]([C@@H]([C@H]%12NC(=O)C)O)O[C@H]6[C@@H](O)[C@H]([C@H](O)[C@@H](CO[C@@H]9[C@@H](O[C@H]%10[C@@H]([C@@H](O)[C@H](O[C@@H]%11O[C@@H]([C@H](O)[C@@H]([C@H]%11O)O)CO)[C@H](O%10)CO)NC(C)=O)[C@@H](O)[C@@H]([C@H](O9)CO[C@@H]8O[C@@H]([C@H]([C@@H]([C@H]8NC(C)=O)O)O[C@@H]7O[C@@H]([C@H](O)[C@@H]([C@H]7O)O)CO)CO)O)O6)O[C@@H]2[C@@H](O[C@H]3[C@H](NC(C)=O)[C@@H](O[C@@H]5O[C@H]([C@@H](O)[C@@H](O)[C@@H]5O)C)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@@H]([C@H]4O)O)[C@H](O3)CO)[C@H]([C@@H]([C@H](O2)CO)O)O)CO)[C@@H](CO)OC1O)O)C
WURCS=2.0/6,13,12/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a1221m-1a_1-5][a2112h-1b_1-5]/1-2-3-4-2-5-6-2-4-2-6-2-6/a4-b1_b4-c1_c3-d1_c6-i1_d2-e1_d4-h1_e3-f1_e4-g1_i2-j1_i6-l1_j4-k1_l4-m1	C(=O)(N[C@@H]1[C@H]([C@H](O[C@H]2[C@@H]([C@H]([C@H](O[C@H]8[C@H]([C@H]([C@@H]([C@@H](CO[C@H]%11O[C@@H]([C@@H](O)[C@@H]([C@@H]%11O[C@H]%12[C@@H]([C@@H](O)[C@H](O[C@@H]%13O[C@@H]([C@H](O)[C@@H]([C@H]%13O)O)CO)[C@H](O%12)CO)NC(C)=O)O)CO[C@@H]%10O[C@@H]([C@H]([C@@H]([C@H]%10NC(C)=O)O)O[C@@H]9O[C@@H]([C@H](O)[C@@H]([C@H]9O)O)CO)CO)O8)O)O[C@H]7O[C@@H]([C@H]([C@@H]([C@@H]7O[C@@H]6O[C@@H]([C@H]([C@@H]([C@H]6NC(C)=O)O[C@@H]5O[C@H]([C@H]([C@H]([C@@H]5O)O)O)C)O[C@H]4[C@H](O)[C@H]([C@@H](O)[C@H](O4)CO)O)CO)O)O[C@H]3[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO)O3)CO)O)[C@H](O2)CO)O)NC(=O)C)[C@@H](CO)OC1O)O)C
WURCS=2.0/4,13,12/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5]/1-2-3-4-4-4-4-4-4-4-4-4-4/a4-b1_b4-c1_c3-d1_c6-j1_d2-e1_d6-g1_e2-f1_g2-h1_g6-i1_j3-k1_j6-l1_l2-m1	C(=O)(N[C@@H]1[C@H]([C@H](O[C@H]2[C@H](NC(=O)C)[C@H]([C@H](O[C@H]%13[C@H]([C@H]([C@@H]([C@H](O%13)CO[C@H]9O[C@H](CO[C@H]%12O[C@H](CO)[C@H]([C@@H]([C@@H]%12O[C@@H]%11[C@@H](O)[C@@H](O)[C@H](O)[C@H](O%11)CO)O)O)[C@@H](O)[C@H](O[C@@H]%10[C@H]([C@H]([C@H](O)[C@H](O%10)CO)O)O)[C@@H]9O)O)O[C@@H]8[C@H]([C@@H](O)[C@@H]([C@H](O8)CO[C@@H]7[C@H]([C@H]([C@H](O)[C@H](O7)CO[C@@H]6[C@@H](O)[C@@H](O)[C@H](O)[C@H](O6)CO)O)O[C@H]5O[C@H](CO)[C@H]([C@H](O)[C@@H]5O)O)O)O[C@@H]3[C@@H](O[C@@H]4[C@@H](O)[C@H]([C@@H]([C@H](O4)CO)O)O)[C@@H](O)[C@H](O)[C@H](O3)CO)O)[C@H](O2)CO)O)[C@@H](CO)OC1O)O)C
WURCS=2.0/6,8,7/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4-4-2-5-6/a4-b1_b4-c1_c3-d1_c6-e1_e2-f1_f4-g1_g6-h2	C(=O)(N[C@H]3[C@H](O[C@H]8[C@@H](O)[C@@H]([C@@H](CO)O[C@@H]8OC[C@@H]7[C@H]([C@@H]([C@H](O)[C@@H](O7)O[C@H]6[C@H](O)[C@@H](NC(C)=O)[C@@H](O[C@@H]6CO)O[C@H]5[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]5CO)O[C@H]4O[C@H](CO)[C@@H](O)[C@@H]([C@@H]4O)O)O)O)O[C@@H]([C@H]([C@@H]3O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO[C@@]1(C(O)=O)O[C@@H]([C@H](O)[C@@H](CO)O)[C@@H]([C@@H](O)C1)NC(C)=O)O)O)O)CO)C
WURCS=2.0/6,11,10/[u2112h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1221m-1a_1-5][a2112h-1b_1-5][a2112h-1a_1-5_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4-2-4-2-4-3-5-6/a3-b1_a6-k2_b3-c1_b4-d1_d3-e1_d6-g1_e4-f1_g4-h1_h2-i1_h3-j1	C(=O)(O)[C@@]1(OC[C@@H]2[C@@H]([C@H](O[C@@H]4O[C@H](CO)[C@@H](O[C@H]9[C@@H]([C@@H](O[C@H]%11[C@H](NC(C)=O)[C@@H](O)[C@@H]([C@H](O%11)CO)O[C@@H]%10O[C@H](CO)[C@H](O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H](O9)CO[C@@H]8O[C@@H]([C@H]([C@H](O)[C@H]8NC(=O)C)O[C@H]7[C@@H]([C@H]([C@H]([C@@H](CO)O7)O)O[C@H]6O[C@@H]([C@@H]([C@@H]([C@H]6NC(C)=O)O)O)CO)O[C@@H]5O[C@@H](C)[C@H]([C@H]([C@@H]5O)O)O)CO)O)[C@@H]([C@H]4NC(=O)C)O[C@@H]3O[C@@H](C)[C@H]([C@@H](O)[C@@H]3O)O)[C@@H](NC(C)=O)C(O2)O)O)C[C@H](O)[C@H]([C@@H](O1)[C@@H]([C@@H](CO)O)O)NC(C)=O
WURCS=2.0/3,12,11/[u2211m][a2211m-1a_1-5][a2122h-1b_1-5_2*NCC/3=O]/1-2-3-2-2-2-3-2-2-2-3-2/a2-b1_b2-c1_c3-d1_d3-e1_e2-f1_f2-g1_g3-h1_h3-i1_i2-j1_j2-k1_k3-l1	C(C)(=O)N[C@@H]%11[C@@H](O[C@H]%12[C@@H]([C@H](O)[C@@H](O)[C@@H](O%12)C)O)[C@@H]([C@@H](CO)O[C@H]%11O[C@@H]%10[C@@H]([C@@H](O)[C@@H](O[C@H]%10O[C@H]1[C@H](O[C@@H]9[C@H]([C@H](C)O[C@H]([C@@H]9O)O[C@H]8[C@@H]([C@@H](CO)O[C@H]([C@@H]8NC(=O)C)O[C@H]2[C@H](O[C@H]3[C@H](O[C@@H]4[C@H]([C@@H](O[C@@H](O[C@@H]7[C@@H](NC(=O)C)[C@@H](O[C@@H]([C@H]7O)CO)O[C@H]5[C@H](O[C@H]6C(O)O[C@@H](C)[C@@H]([C@H]6O)O)O[C@H]([C@H](O)[C@H]5O)C)[C@@H]4O)C)O)O[C@@H](C)[C@H](O)[C@H]3O)O[C@@H](C)[C@H](O)[C@H]2O)O)O)O[C@@H](C)[C@@H]([C@H]1O)O)C)O)O
WURCS=2.0/2,5,4/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O]/1-2-2-2-2/a4-b1_b4-c1_c4-d1_d4-e1	C(C)(=O)N[C@@H]2[C@@H](O)[C@@H]([C@@H](CO)O[C@H]2O[C@@H]3[C@H](O[C@@H](O[C@H]4[C@@H]([C@@H](NC(=O)C)[C@H](O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)O[C@@H]4CO)O)[C@H](NC(=O)C)[C@H]3O)CO)O[C@@H]1O[C@H](CO)[C@H]([C@H](O)[C@H]1NC(C)=O)O
WURCS=2.0/2,3,2/[u2112h_2*NCC/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-2/a3-b2_a6-c2	C(C)(=O)N[C@@H]3[C@H](C[C@@](O[C@H]3[C@@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@H](O)[C@@H]([C@H](C(O2)O)NC(C)=O)O[C@@]1(C(=O)O)O[C@@H]([C@H](O)[C@@H](CO)O)[C@H](NC(=O)C)[C@H](C1)O)O
WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a2122h-1a_1-5_2*NCC/3=O]/1-2-3-2-4/a3-b1_a6-c1_c4-d1_d4-e1	C(C)(=O)N[C@H]1[C@H](OC[C@@H]5[C@H](O)[C@@H]([C@H](C(O5)O)NC(=O)C)O[C@@H]4O[C@@H]([C@H](O)[C@@H]([C@H]4O)O)CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3[C@@H]([C@@H](O)[C@H](O)[C@H](O3)CO)NC(C)=O)[C@H](O)[C@H]2O)[C@@H]1O
WURCS=2.0/4,12,11/[u2122h][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a1221m-1a_1-5]/1-2-3-2-4-4-3-4-2-3-2-4/a4-b1_b3-c1_b6-g1_c3-d1_c4-f1_d2-e1_g3-h1_g4-i1_i3-j1_j3-k1_k2-l1	C(C)(N[C@H]9[C@@H](O[C@@H]([C@@H](O[C@H]%12[C@H]([C@@H]([C@@H]([C@@H](O%12)C)O)O)O)[C@@H]9O[C@@H]%11O[C@H](CO)[C@H](O)[C@H](O)[C@H]%11O[C@@H]%10O[C@H]([C@@H](O)[C@H]([C@@H]%10O)O)C)CO)O[C@H]2[C@@H](O)[C@@H](CO[C@@H]3O[C@@H]([C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@@H]([C@H]8O)O[C@H]5[C@@H]([C@@H](O[C@@H]7O[C@H](CO)[C@@H]([C@H](O)[C@H]7O[C@H]6[C@H]([C@H](O)[C@H](O)[C@@H](O6)C)O)O)[C@H](O)[C@@H](CO)O5)NC(=O)C)[C@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@H]([C@@H]4O)O)[C@H]3NC(=O)C)CO)O[C@H]([C@@H]2O)O[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O)=O
